RIC,Sector,Name,SMA50-SMA200,SMA20-SMA50,Volume-VWAP,Close-VWAP,Last,HighNav,Fibo618,Fibo50,Fibo382,LowNav,PctfromPriceLowfromDate,Pctfrom52WkLow,52WkLow,1W%,1M%,Correlation Data,Rev Growth,% ROE,Volume5D30D,ImpVol30D,TargetPx,20SMA,200SMA
GS.N,Financials,Goldman Sachs Group Inc,85.61,-2.71,840168.00,632.88,632.73,634.74,536.68,506.39,476.10,378.04,126.14,68.98,37443.00,4.42,11.77,0.69,16.95,11.88,44.82,28.52,637.21,586.43,503.54
HD.N,Consumer Discretionary,Home Depot Inc,33.70,-11.62,975268.00,410.84,410.10,431.37,390.77,378.24,365.70,325.10,53.84,26.65,32380.00,0.99,4.46,0.70,-3.01,404.93,9.58,21.96,435.65,395.56,373.48
HON.OQ,Industrials,Honeywell International Inc,15.99,-2.60,1063600.00,223.22,223.09,236.00,218.57,213.18,207.79,190.36,33.61,17.58,18973.00,1.62,-2.29,0.61,3.37,32.81,-0.30,18.66,245.41,224.08,210.68
IBM.N,Information Technology,International Business Machines Corp,23.11,-0.49,1111672.00,222.89,223.26,238.04,209.92,201.24,192.55,164.43,89.90,37.26,16265.00,1.47,-0.04,0.31,2.20,28.63,-5.40,19.79,218.44,221.99,199.37
JNJ.N,Health Care,Johnson & Johnson,-4.86,-3.92,3224577.00,144.53,145.27,167.38,157.71,154.72,151.73,142.06,2.26,3.26,14068.00,0.21,0.55,-0.42,4.30,NULL,15.69,17.61,171.47,144.95,153.73
JPM.N,Financials,JPMorgan Chase & Co,28.23,1.80,2520091.00,262.57,262.84,263.03,228.54,217.88,207.22,172.73,157.79,55.63,16889.00,4.16,10.62,0.61,9.46,18.19,19.67,19.25,268.77,245.76,215.73
KO.N,Consumer Staples,Coca-Cola Co,-2.42,-0.71,5397804.00,61.84,61.78,73.01,67.30,65.54,63.77,58.06,17.95,6.63,5794.00,0.02,-1.23,-0.64,6.39,39.40,-4.50,13.14,72.47,61.99,65.11
MCD.N,Consumer Discretionary,McDonald's Corp,12.18,-4.60,1105220.00,281.57,281.35,316.56,289.54,281.19,272.84,245.82,26.73,15.51,24358.00,-0.34,-3.87,-0.04,9.97,NULL,11.90,12.32,326.35,287.80,280.22
MMM.N,Industrials,3M Co,13.13,2.12,1959669.00,149.37,149.12,149.12,121.30,112.71,104.11,76.29,108.36,97.10,7565.64,8.23,15.35,-0.06,-24.80,92.15,51.42,21.50,152.02,134.12,118.87
MRK.N,Health Care,Merck & Co Inc,-15.56,-0.69,3288899.00,95.77,95.68,132.96,118.72,114.32,109.92,95.68,30.16,1.25,9450.00,-4.41,-2.42,-0.70,1.40,28.33,15.97,19.59,126.41,99.19,115.44
MSFT.OQ,Information Technology,Microsoft Corp,4.26,-2.11,9131394.00,444.19,446.20,467.56,437.68,428.45,419.21,389.33,108.26,15.70,38565.00,4.67,2.20,0.12,15.67,35.60,15.09,21.60,503.31,427.46,425.32
NKE.N,Consumer Discretionary,Nike Inc,-6.67,-2.14,2795845.00,73.97,74.04,107.18,93.30,89.01,84.72,70.84,4.52,5.29,7032.00,4.18,-3.77,-0.41,0.28,34.67,9.11,20.53,87.74,73.56,82.38
NVDA.OQ,Information Technology,NVIDIA Corp,18.65,-1.07,54527028.00,146.66,147.07,149.43,115.85,105.48,95.11,61.53,1209.97,145.34,5994.50,7.95,9.18,0.65,125.85,127.21,6.22,42.55,171.50,138.60,121.02
PG.N,Consumer Staples,Procter & Gamble Co,1.10,-4.78,4027776.00,165.39,164.74,179.70,170.39,167.52,164.64,155.33,33.11,8.32,15209.00,3.19,-1.98,-0.04,2.48,30.97,22.20,15.26,183.04,163.98,167.66
SHW.N,Materials,Sherwin-Williams Co,21.15,-22.04,350463.00,358.02,357.74,399.71,358.55,345.83,333.11,291.95,77.79,26.66,28245.00,3.12,3.55,0.33,4.08,64.45,-0.80,22.39,389.28,343.30,344.19
TRV.N,Financials,Travelers Companies Inc,20.40,-9.04,666218.00,247.81,246.72,266.66,241.91,234.27,226.62,201.87,63.82,23.23,20021.00,2.81,2.48,0.65,12.20,18.80,31.86,23.90,267.16,240.54,229.18
UNH.N,Health Care,Unitedhealth Group Inc,10.03,-35.28,1013667.00,519.90,519.72,625.25,554.18,532.23,510.27,439.20,18.33,19.10,43639.00,-4.36,3.92,0.07,7.79,15.40,0.23,39.83,637.51,516.57,541.81
V.N,Financials,Visa Inc,29.35,2.52,1586124.00,323.62,323.56,323.63,296.93,288.69,280.44,253.74,82.13,28.02,25274.00,2.30,1.84,0.59,10.02,51.79,-28.25,15.36,339.48,315.86,283.99
VZ.N,Communication Services,Verizon Communications Inc,-0.28,-1.72,5080100.00,38.96,38.95,45.21,42.38,41.51,40.64,37.81,27.00,3.62,3759.00,2.02,-2.45,-0.07,-2.09,10.10,9.16,16.20,46.39,39.23,41.23
WMT.N,Consumer Staples,Walmart Inc,15.05,0.66,3686991.00,93.21,93.23,95.70,80.16,75.36,70.56,55.01,136.44,74.46,5343.99,2.07,1.07,0.55,6.03,23.48,-7.23,17.30,100.01,91.58,75.87
A.N,Health Care,Agilent Technologies Inc,-0.84,2.18,552121.00,152.63,152.60,154.64,143.48,140.03,136.58,125.42,50.84,22.86,12421.00,7.29,13.45,-0.16,-4.73,21.95,27.99,21.68,148.98,139.38,138.04
AAPL.OQ,Information Technology,Apple Inc,21.75,3.17,18887619.00,222.95,223.83,259.02,223.10,212.01,200.92,165.00,79.04,36.42,16408.00,-5.90,-12.05,0.43,2.02,174.62,20.22,23.44,243.94,242.47,217.56
ABBV.N,Health Care,AbbVie Inc,-2.41,0.28,2171015.00,169.30,169.20,203.87,185.12,179.33,173.54,154.79,28.20,10.16,15360.00,-1.25,-3.63,-0.59,-6.44,56.06,14.00,18.58,203.45,176.49,178.63
ABNB.OQ,Consumer Discretionary,Airbnb Inc,-3.71,-1.82,1310827.00,132.90,132.50,168.18,147.11,140.60,134.08,113.01,60.63,20.02,11040.00,-0.02,-1.27,0.77,18.07,20.87,-11.48,29.09,139.02,132.58,138.10
ABT.N,Health Care,Abbott Laboratories,4.40,-1.10,2539783.00,117.42,117.78,120.96,112.98,110.52,108.05,100.07,30.59,18.12,9971.00,6.01,3.11,0.26,4.59,NULL,31.73,16.97,130.29,113.95,110.65
ACGL.OQ,Financials,Arch Capital Group Ltd,-1.79,-2.18,747688.00,93.52,93.21,109.22,96.46,92.52,88.58,75.82,135.24,24.60,7480.72,-0.44,2.44,-0.68,34.03,31.63,45.47,21.88,118.36,92.50,96.47
ACN.N,Information Technology,Accenture PLC,24.43,-2.97,716338.00,358.79,359.11,386.91,346.74,334.34,321.93,281.76,45.88,28.86,27869.00,2.68,-1.98,0.43,1.22,27.10,20.01,26.09,396.33,354.61,333.14
ADBE.OQ,Information Technology,Adobe Inc,-26.74,-44.97,832132.00,437.35,437.32,634.76,547.34,520.34,493.34,405.92,58.91,8.25,40400.00,4.80,-2.20,-0.45,10.80,36.31,-15.34,47.10,580.03,432.45,504.15
ADI.OQ,Information Technology,Analog Devices Inc,-3.98,-0.09,860102.00,224.24,224.08,243.33,220.42,213.35,206.27,183.36,63.89,22.69,18264.00,2.69,5.81,-0.50,-23.39,4.61,3.42,23.09,250.91,216.19,220.25
ADM.N,Consumer Staples,Archer-Daniels-Midland Co,-6.42,-1.14,1063213.00,50.53,50.52,65.72,59.48,57.55,55.62,49.38,2.31,4.34,4842.00,-1.21,0.06,-0.78,-7.50,7.62,-8.59,19.56,55.58,50.60,58.17
ADP.OQ,Industrials,Automatic Data Processing Inc,28.54,-5.14,529456.00,296.79,296.36,307.97,279.50,270.71,261.91,233.44,50.98,28.09,23136.00,1.02,0.80,0.83,6.61,87.26,-3.63,16.32,298.34,293.08,269.68
ADSK.OQ,Information Technology,Autodesk Inc,41.13,-6.83,420903.00,300.97,301.45,321.27,274.92,260.60,246.28,199.93,83.46,54.34,19532.00,3.61,1.12,0.82,9.83,53.25,-4.61,21.19,330.69,294.12,259.82
AEE.N,Utilities,Ameren Corp,9.32,-0.63,312081.00,93.63,93.35,96.24,85.42,82.08,78.74,67.92,37.44,39.22,6705.00,2.45,4.55,0.80,-5.74,9.91,-0.18,21.23,93.95,90.32,81.63
AEP.OQ,Utilities,American Electric Power Company Inc,0.57,-1.21,1172158.00,97.54,97.49,104.95,93.87,90.45,87.02,75.94,36.67,29.61,7522.00,2.49,5.11,-0.57,-3.35,10.14,-4.65,15.01,100.04,93.55,94.18
AES.N,Utilities,AES Corp,-3.90,-0.52,3989548.00,11.26,11.13,21.77,17.71,16.45,15.19,11.13,0.00,0.27,1110.00,-5.44,-14.38,-0.70,0.40,39.19,-1.74,33.48,17.10,12.44,16.86
AFL.N,Financials,Aflac Inc,6.91,-2.91,739546.00,104.73,104.30,115.26,100.34,95.73,91.12,76.20,96.76,38.92,7508.00,-0.47,1.57,-0.27,-2.42,16.04,10.81,17.61,106.77,103.54,99.54
AIG.N,Financials,American International Group Inc,-1.14,-1.12,1077542.00,75.05,74.75,80.54,75.80,74.34,72.87,68.13,58.50,10.69,6753.00,2.30,2.83,0.03,-14.32,9.02,-4.53,18.51,83.83,72.93,75.19
AIZ.N,Financials,Assurant Inc,25.94,-5.61,133726.00,207.35,207.22,228.68,202.93,194.98,187.03,161.28,97.50,29.42,16012.00,-0.86,-2.38,0.70,9.33,15.21,-7.33,21.78,228.00,209.64,189.32
AJG.N,Financials,Arthur J. Gallagher & Co.,16.79,-5.56,388589.00,294.34,293.50,315.16,282.16,271.97,261.78,228.78,96.91,29.05,22743.00,1.14,3.67,0.17,17.79,10.35,-51.17,20.89,308.58,286.51,275.28
AKAM.OQ,Information Technology,Akamai Technologies Inc,-2.78,-0.36,543991.00,94.72,95.11,128.32,112.14,107.14,102.14,85.96,34.43,12.28,8471.00,5.07,-0.81,-0.38,5.40,11.54,9.09,24.75,115.77,93.74,96.88
ALB.N,Materials,Albemarle Corp,-2.65,-8.47,587187.00,90.82,90.25,142.80,116.08,107.83,99.57,72.85,23.88,25.40,7197.00,-5.15,1.80,0.60,31.38,-21.98,-0.12,45.90,111.98,90.00,101.12
ALGN.OQ,Health Care,Align Technology Inc,-19.70,-7.92,224830.00,232.65,232.14,330.25,282.03,267.14,252.25,204.03,32.97,18.38,19609.00,7.58,9.99,-0.27,3.42,11.40,-14.39,34.83,264.02,214.90,242.52
ALL.N,Financials,Allstate Corp,14.99,-5.33,596410.00,186.02,185.25,208.20,187.93,181.68,175.42,155.15,83.09,20.64,15355.00,-1.48,-4.29,0.50,11.05,26.13,1.49,27.65,229.13,189.90,180.25
ALLE.N,Industrials,Allegion PLC,4.03,-5.48,285645.00,132.37,132.18,153.36,138.57,134.01,129.44,114.65,48.53,16.60,11336.00,0.95,0.00,-0.16,11.58,40.81,-8.43,18.09,142.92,130.81,132.27
AMAT.OQ,Information Technology,Applied Materials Inc,-23.75,-0.62,2282975.00,197.15,195.51,254.97,219.24,208.21,197.17,161.44,162.75,22.96,15900.00,9.60,19.51,-0.44,2.49,40.61,4.69,30.83,211.61,174.39,198.76
AMCR.N,Materials,Amcor PLC,-0.32,-0.41,3441880.00,9.73,9.72,11.44,10.44,10.14,9.83,8.83,15.03,10.71,878.00,1.14,3.40,-0.63,-7.17,19.60,2.71,14.27,11.34,9.51,10.23
AMD.OQ,Information Technology,Advanced Micro Devices Inc,-18.98,-8.53,7902382.00,123.87,123.75,211.38,174.96,163.71,152.46,116.04,121.22,8.15,11442.00,3.16,3.81,-0.44,-3.90,3.26,-12.47,39.51,172.48,122.18,149.70
AME.N,Industrials,AMETEK Inc,13.28,-6.60,553086.00,188.28,188.70,197.38,180.33,175.06,169.79,152.74,76.12,26.21,14951.00,4.80,2.91,0.79,7.26,14.89,52.83,17.37,202.89,180.90,174.22
AMGN.OQ,Health Care,Amgen Inc,-27.50,-11.41,1357803.00,273.60,273.44,337.38,307.28,297.99,288.69,258.59,27.61,7.95,25330.00,1.67,3.82,-0.68,7.09,55.72,-4.94,17.83,318.58,265.06,303.97
AMP.N,Financials,Ameriprise Financial Inc,78.86,-13.11,137417.00,560.55,561.53,574.01,502.20,480.02,457.83,386.02,151.67,48.47,37822.00,4.52,5.53,0.87,6.15,56.75,30.74,21.34,572.89,536.13,470.39
AMT.N,Real Estate,American Tower Corp,-10.92,-10.74,742006.00,185.44,185.29,242.83,215.39,206.92,198.44,171.00,17.51,8.67,17050.00,2.76,0.85,-0.66,4.04,47.53,4.12,31.35,227.82,182.47,204.12
AMZN.OQ,Consumer Discretionary,Amazon.com Inc,25.43,5.82,15703319.00,234.40,235.01,235.01,204.52,195.11,185.69,155.20,187.23,55.01,15161.00,5.22,4.49,0.73,11.83,22.56,11.64,26.93,246.72,223.88,192.64
ANET.N,Information Technology,Arista Networks Inc,17.84,7.54,1664972.00,129.22,129.82,129.82,103.67,95.59,87.52,61.37,474.30,115.92,6012.50,11.82,15.08,0.66,33.75,33.83,21.17,38.44,112.33,115.73,90.35
ANSS.OQ,Information Technology,ANSYS Inc,15.74,-1.89,131086.00,356.17,356.63,361.45,336.65,329.00,321.34,296.54,78.02,22.98,28999.00,3.95,5.39,0.80,9.90,10.48,10.28,15.86,353.60,341.45,327.60
AON.N,Financials,Aon PLC,37.23,-10.85,209250.00,367.67,367.31,393.31,348.43,334.57,320.70,275.82,47.81,34.79,27251.00,1.70,2.47,0.70,7.19,86.11,-8.28,17.16,388.74,358.67,332.28
AOS.N,Industrials,A O Smith Corp,-8.62,-2.18,445205.00,71.04,70.97,91.98,82.56,79.66,76.75,67.33,46.09,5.61,6720.00,0.03,3.27,-0.60,2.63,29.54,5.16,20.53,80.09,69.34,80.14
APA.OQ,Energy,APA Corp (US),-4.46,0.72,1708207.00,23.43,23.36,35.74,29.91,28.11,26.31,20.48,14.06,14.96,2032.00,-8.21,11.03,-0.71,-25.25,71.80,12.18,33.01,31.50,23.34,27.07
APD.N,Materials,Air Products and Chemicals Inc,28.01,-13.13,456176.00,316.85,316.99,335.62,289.69,275.50,261.31,215.38,47.18,49.33,21227.00,3.29,7.46,0.63,-3.96,24.51,37.10,21.50,345.77,297.47,282.59
APH.N,Information Technology,Amphenol Corp,5.58,-1.19,3390057.00,77.33,77.84,77.84,67.42,64.20,60.97,50.55,149.05,57.65,4937.50,9.71,10.29,0.75,21.25,26.73,36.18,35.11,82.22,70.88,66.49
APO.N,Financials,Apollo Global Management Inc,37.06,-2.48,1018814.00,168.89,168.90,178.61,148.26,138.89,129.51,99.16,263.23,76.84,9551.00,2.46,-1.25,0.87,145.52,47.30,-50.63,32.20,184.24,166.39,131.81
APTV.N,Consumer Discretionary,Aptiv PLC,-10.74,2.83,1199394.00,63.18,62.73,87.44,73.94,69.78,65.61,52.11,20.38,21.57,5160.00,3.02,6.57,-0.78,14.65,24.66,-26.69,19.11,75.07,60.67,68.58
ARE.N,Real Estate,Alexandria Real Estate Equities Inc,-11.33,-4.65,214306.00,100.80,100.63,129.60,116.38,112.30,108.21,94.99,9.79,6.35,9462.00,2.24,1.47,-0.63,11.12,1.53,-25.44,24.86,120.15,98.71,114.69
ATO.N,Utilities,Atmos Energy Corp,12.73,-2.81,236035.00,142.05,141.69,151.43,136.12,131.39,126.65,111.34,44.42,28.25,11048.00,0.43,1.43,0.72,-2.58,9.05,3.66,19.96,149.43,140.04,130.12
AVB.N,Real Estate,AvalonBay Communities Inc,11.82,-6.72,166803.00,214.66,214.41,237.81,211.90,203.90,195.90,169.99,39.16,26.40,16963.00,-1.24,-3.49,-0.09,6.73,8.79,-8.43,19.43,240.25,217.78,212.68
AVGO.OQ,Information Technology,Broadcom Inc,34.78,31.06,9394022.00,242.49,240.91,250.00,199.58,184.00,168.42,118.00,464.06,105.14,11743.50,5.66,9.11,0.38,43.99,13.46,-31.28,81.61,241.09,232.83,166.99
AVY.N,Materials,Avery Dennison Corp,-16.57,-7.23,198903.00,190.71,190.53,229.52,211.87,206.42,200.96,183.31,24.28,4.41,18249.00,0.16,1.28,-0.64,-7.47,30.24,5.67,16.40,227.96,188.36,212.16
AWK.N,Utilities,American Water Works Company Inc,-4.46,-5.52,401669.00,122.62,121.68,149.90,136.12,131.86,127.60,113.82,6.91,7.31,11339.00,-1.50,-3.37,-0.62,11.66,9.70,1.41,19.39,140.61,124.04,134.01
AXON.OQ,Industrials,Axon Enterprise Inc,204.11,-18.32,149594.00,607.57,607.60,689.78,521.42,469.42,417.42,249.06,620.16,145.68,24731.00,4.76,-3.81,0.82,31.38,16.42,-53.52,33.66,616.21,595.98,410.19
AXP.N,Financials,American Express Co,39.41,4.42,903825.00,321.58,322.25,322.25,275.83,261.50,247.16,200.74,138.86,73.50,18574.00,3.18,7.90,0.81,24.41,34.23,2.47,25.76,304.86,303.78,259.95
AZO.N,Consumer Discretionary,Autozone Inc,153.76,29.36,28292.00,3323.95,3326.01,3370.27,3106.59,3025.14,2943.68,2680.00,87.73,24.35,267463.00,3.74,2.23,0.28,5.92,NULL,-7.83,19.57,3634.74,3249.81,3066.69
BA.N,Industrials,Boeing Co,-6.07,11.04,938032.00,174.92,174.80,211.92,183.74,175.03,166.32,138.14,50.87,27.53,13707.00,5.17,-1.44,-0.03,16.79,NULL,-9.59,24.42,184.18,173.60,168.62
BAC.N,Financials,Bank of America Corp,4.57,-0.55,10537568.00,45.92,45.79,47.77,42.03,40.26,38.49,32.75,81.92,41.52,3235.50,-2.78,3.67,0.78,3.29,9.52,25.90,20.70,50.82,45.23,41.21
BALL.N,Materials,Ball Corp,-5.45,-3.17,778412.00,54.45,54.33,70.72,63.57,61.37,59.16,52.01,26.88,4.56,5196.00,0.13,-2.63,-0.57,-8.60,14.16,-11.43,19.56,68.37,54.56,63.19
BAX.N,Health Care,Baxter International Inc,-3.92,-1.44,1515848.00,31.82,31.83,43.77,37.99,36.20,34.41,28.63,11.18,12.31,2834.00,5.36,7.90,-0.68,2.12,1.52,-7.75,22.80,38.43,29.88,35.25
BBY.N,Consumer Discretionary,Best Buy Co Inc,0.33,-2.42,549953.00,83.90,83.92,103.30,90.44,86.47,82.49,69.63,33.52,21.11,6929.00,0.85,-1.91,-0.69,-6.15,43.09,-7.02,22.91,99.17,84.80,86.89
BDX.N,Health Care,Becton Dickinson and Co,-5.83,4.06,364804.00,238.16,237.92,247.45,236.97,233.74,230.50,220.02,8.99,8.75,21877.00,2.29,4.50,-0.65,4.16,6.60,-15.61,15.19,273.35,231.68,233.45
BEN.N,Financials,Franklin Resources Inc,-0.85,-1.12,953071.00,19.84,19.87,28.40,24.81,23.70,22.58,18.99,4.63,5.52,1883.00,1.22,-3.03,0.55,8.51,3.54,-17.50,28.57,19.85,19.99,21.95
BFb.N,Consumer Staples,Brown-Forman Corp,-4.60,-3.43,942228.00,33.08,33.03,60.78,50.18,46.91,43.63,33.03,0.00,0.64,3282.00,-1.96,-19.99,-0.50,-1.18,28.05,-4.33,27.65,45.66,36.47,44.51
BG.N,Consumer Staples,Bunge Global SA,-13.59,-4.51,386629.00,78.02,77.91,114.56,100.17,95.73,91.28,76.89,1.33,2.74,7583.00,-3.15,-1.50,-0.70,-11.44,11.29,-19.14,23.22,102.39,78.84,96.94
BIIB.OQ,Health Care,Biogen Inc,-40.12,-6.77,362775.00,142.44,142.75,247.83,206.85,194.19,181.53,140.55,1.57,2.00,13995.00,1.24,-2.54,-0.81,-3.32,10.47,-26.13,23.68,228.22,147.86,194.75
BK.N,Financials,Bank of New York Mellon Corp,11.03,-0.28,948193.00,84.47,84.33,84.93,73.07,69.41,65.75,53.89,126.15,60.02,5270.00,2.79,8.64,0.87,6.49,11.81,18.62,28.99,91.35,78.78,68.03
BKNG.OQ,Consumer Discretionary,Booking Holdings Inc,859.12,-134.86,120946.00,4634.65,4619.21,5300.34,4538.36,4302.98,4067.60,3305.62,182.59,44.89,318800.00,-4.36,-8.50,0.87,25.01,NULL,16.92,26.04,5321.86,4897.21,4172.95
BKR.OQ,Energy,Baker Hughes Co,6.24,0.23,2282567.00,46.05,45.81,47.04,39.96,37.77,35.58,28.50,124.01,61.76,2832.00,0.20,13.62,0.79,20.56,14.25,2.24,24.08,47.46,43.17,36.70
BLDR.N,Industrials,Builders FirstSource Inc,-3.63,-15.11,442126.00,165.80,165.78,211.12,181.13,171.86,162.59,132.60,231.43,26.69,13085.00,2.62,10.15,-0.22,-24.77,27.44,13.38,38.42,201.91,150.27,169.01
BLK.N,Financials,BlackRock Inc,131.60,-17.55,153941.00,1006.37,1006.34,1065.26,943.80,906.28,868.76,747.30,89.48,34.89,74606.00,-0.68,-2.17,0.82,12.84,NULL,-2.16,24.75,1179.13,1009.91,895.85
BMY.N,Health Care,Bristol-Myers Squibb Co,7.77,-0.65,2170292.00,56.98,57.09,59.94,52.19,49.80,47.41,39.66,43.95,45.06,3935.50,2.11,-0.42,0.87,-2.50,-31.46,-28.66,19.25,59.46,56.73,49.61
BR.N,Industrials,Broadridge Financial Solutions Inc,17.42,-1.72,138981.00,234.90,234.95,236.44,218.88,213.45,208.02,190.46,76.63,24.52,18869.00,3.01,3.96,0.77,7.36,31.81,-5.58,18.78,227.88,227.61,211.92
BRKb.N,Financials,Berkshire Hathaway Inc,23.13,-7.15,1333230.00,460.51,460.51,483.08,444.92,433.13,421.34,383.18,74.44,23.67,37238.00,0.44,1.61,0.13,20.68,18.52,24.13,14.68,513.00,455.15,439.17
BRO.N,Financials,Brown & Brown Inc,8.22,-3.50,430347.00,105.34,105.19,113.42,99.54,95.25,90.96,77.08,97.43,38.65,7587.00,1.46,2.20,0.42,19.13,17.81,69.05,19.06,114.49,103.05,98.34
BSX.N,Health Care,Boston Scientific Corp,9.89,2.33,1899939.00,100.52,100.31,100.91,85.78,81.11,76.44,61.31,184.65,67.60,5985.00,3.53,12.77,0.70,12.29,9.06,6.76,19.93,103.23,93.52,81.29
BWA.N,Consumer Discretionary,Borgwarner Inc,-0.51,-1.31,842774.00,31.83,31.79,37.72,34.83,33.94,33.05,30.16,15.10,7.73,2951.00,-1.58,-0.28,-0.03,12.37,15.41,-14.92,25.38,40.01,31.91,33.73
BX.N,Financials,Blackstone Inc,33.18,-6.89,977330.00,182.36,182.77,199.05,167.37,157.59,147.81,116.13,153.28,57.81,11582.00,4.36,6.98,0.85,-5.31,31.46,-0.66,33.07,180.68,173.97,147.69
BXP.N,Real Estate,BXP Inc,5.76,-4.35,277657.00,72.84,72.73,89.72,77.29,73.45,69.60,57.17,54.55,28.73,5650.00,1.01,-2.56,0.01,5.26,6.29,-11.52,34.28,83.18,72.94,71.54
C.N,Financials,Citigroup Inc,7.09,2.06,3688061.00,81.73,81.69,81.69,70.64,67.23,63.81,52.76,113.62,56.37,5224.00,4.37,18.07,0.72,5.45,6.05,48.10,27.73,90.62,73.58,64.42
CAG.N,Consumer Staples,Conagra Brands Inc,-2.26,-0.48,1859524.00,25.32,25.31,32.83,29.96,29.07,28.18,25.31,0.00,0.68,2514.00,-0.78,-6.64,-0.80,-1.84,5.53,-0.17,19.57,29.48,26.73,29.48
CAH.N,Health Care,Cardinal Health Inc,12.32,0.57,480616.00,128.66,128.75,128.75,115.38,111.25,107.11,93.74,155.05,38.19,9317.00,3.24,8.85,0.66,10.66,NULL,-12.38,16.19,134.34,121.60,108.70
CARR.N,Industrials,Carrier Global Corp,3.06,-3.38,1381641.00,70.15,70.03,82.67,71.48,68.03,64.57,53.38,105.61,31.81,5313.00,1.79,2.25,-0.14,8.21,13.42,1.20,22.81,81.49,68.78,69.09
CAT.N,Industrials,Caterpillar Inc,21.51,-12.60,546321.00,397.66,397.61,416.88,372.35,358.60,344.84,300.31,144.77,37.88,28838.00,6.06,8.62,0.58,12.84,53.54,-2.45,24.27,388.73,369.55,360.64
CB.N,Financials,Chubb Ltd,5.84,-6.97,516135.00,269.11,268.32,301.89,279.31,272.33,265.35,242.77,53.55,12.31,23890.00,-0.03,-1.79,-0.38,15.72,16.93,2.55,18.41,300.49,270.67,271.79
CBOE.Z,Financials,Cboe Global Markets Inc,6.93,-6.36,182940.00,197.54,197.73,217.84,198.65,192.72,186.79,167.60,88.60,18.76,16649.00,2.76,3.19,-0.28,12.75,19.41,-6.43,18.75,210.57,194.23,193.66
CBRE.N,Real Estate,CBRE Group Inc,22.35,-2.55,520442.00,139.49,139.44,140.94,118.94,112.14,105.34,83.34,112.04,68.20,8290.00,6.20,7.96,0.82,3.64,11.70,-6.06,33.83,154.30,131.17,111.37
CCI.N,Real Estate,Crown Castle Inc,-6.47,-7.85,1046773.00,88.53,88.43,120.25,106.53,102.29,98.05,84.33,4.86,5.01,8421.00,2.07,-2.46,-0.59,-0.07,20.53,2.70,23.92,111.24,89.08,103.41
CCL.N,Consumer Discretionary,Carnival Corp,6.12,-0.20,3273585.00,25.40,25.25,26.80,21.87,20.35,18.83,13.90,295.77,83.24,1378.00,1.24,-5.78,0.87,15.88,23.75,-9.02,35.38,29.25,25.00,19.07
CDNS.OQ,Information Technology,Cadence Design Systems Inc,16.55,-1.42,650157.00,321.11,321.49,326.50,296.07,286.67,277.27,246.84,138.23,33.16,24143.00,6.91,6.64,0.80,14.83,27.07,6.16,24.95,324.55,303.40,288.27
CDW.OQ,Information Technology,CDW Corp,-32.38,-0.08,344467.00,194.11,194.30,257.87,224.32,213.95,203.58,170.03,27.33,15.31,16850.00,3.65,11.33,-0.77,-9.99,53.36,-2.56,21.93,222.02,180.66,213.12
CE.N,Materials,Celanese Corp,-50.70,-2.44,639070.00,73.21,73.06,171.86,131.02,118.40,105.78,64.94,12.50,13.92,6413.00,2.89,7.05,-0.70,13.10,15.97,-13.54,30.25,91.25,68.95,122.09
CEG.OQ,Utilities,Constellation Energy Corp,28.17,14.87,1364859.00,331.79,332.47,332.47,251.69,226.74,201.79,121.01,691.60,188.23,11535.00,10.54,46.45,0.44,1.96,23.60,7.89,83.01,306.61,265.54,222.50
CF.N,Materials,CF Industries Holdings Inc,7.38,0.99,535493.00,93.79,93.51,97.25,86.60,83.32,80.03,69.38,55.23,35.19,6917.00,-2.97,10.04,0.63,-40.72,21.32,-8.63,31.13,91.77,89.57,81.19
CFG.N,Financials,Citizens Financial Group Inc,5.44,-0.86,1162876.00,47.11,47.03,48.46,41.57,39.45,37.32,30.43,105.64,55.52,3024.00,-0.11,8.24,0.71,-4.56,6.17,4.33,28.41,52.32,44.91,40.33
CHD.N,Consumer Staples,Church & Dwight Co Inc,2.26,-2.13,512245.00,106.76,106.70,112.25,106.42,104.63,102.83,97.00,50.88,10.89,9622.00,3.15,0.57,0.54,9.16,13.34,11.18,18.59,108.62,104.73,104.60
CHRW.OQ,Industrials,CH Robinson Worldwide Inc,10.58,-2.82,375776.00,105.58,105.25,114.06,96.42,90.98,85.53,67.89,55.03,61.92,6500.00,2.15,0.87,0.26,-28.75,22.82,-3.58,22.05,115.64,103.71,95.95
CHTR.OQ,Communication Services,Charter Communications Inc,45.09,-23.34,373187.00,351.88,352.80,408.02,349.42,331.32,313.21,254.61,38.56,48.78,23713.00,1.38,0.37,0.63,1.08,37.11,-0.06,38.42,398.46,348.11,326.36
CI.N,Health Care,Cigna Group,-29.59,-21.40,406168.00,289.07,289.04,366.85,328.17,316.22,304.27,265.59,32.86,10.27,26211.00,1.57,4.38,-0.57,8.17,6.92,-18.99,33.58,388.08,280.90,331.88
CINF.OQ,Financials,Cincinnati Financial Corp,16.60,-6.67,293992.00,138.59,138.01,160.16,139.86,133.60,127.33,107.03,54.08,31.59,10488.00,-2.29,-4.54,0.70,52.57,25.14,6.66,23.95,154.17,141.66,131.74
CL.N,Consumer Staples,Colgate-Palmolive Co,-4.14,-2.66,1466470.00,87.78,87.55,108.77,99.10,96.12,93.13,83.46,27.85,9.40,8003.00,-0.35,-4.87,-0.76,8.29,1346.48,12.03,13.31,100.91,89.37,96.17
